AreaID,AnalysisAreaName,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,density_hhemp_orig,density_hhemp_new,density_hhemp_change
0.0,1100 North Center,78.91831913363808,1400.0,2700.0,1300.0,0.0,1200.0,1200.0,18.0,49.0,31.0
1.0,1940 W NORTH TEMPLE LRT NC,56.508938850792624,700.0,1400.0,700.0,200.0,1000.0,800.0,15.0,43.0,28.0
2.0,3500 South,267.9262205060962,3400.0,8500.0,5100.0,500.0,4400.0,3900.0,15.0,48.0,33.0
3.0,"4800 W. OLD BINGHAM HWY 
 LRT NC",98.05242832263065,0.0,700.0,700.0,300.0,700.0,400.0,3.0,15.0,12.0
4.0,5600 W. OLD BINGHAM HWY LRT NC,124.16426071445079,100.0,3100.0,3000.0,0.0,2100.0,2100.0,1.0,41.0,40.0
5.0,900 SOUTH LRT NC,74.54639658540214,1500.0,1800.0,300.0,400.0,1400.0,1000.0,25.0,43.0,18.0
6.0,AIRPORT LRT NC,125.60956614454369,4700.0,4700.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0
7.0,AMERICAN FORK CRT NC,64.2438490653084,0.0,1400.0,1400.0,0.0,1000.0,1000.0,0.0,37.0,37.0
8.0,Ballpark,56.77137136390156,600.0,2800.0,2200.0,100.0,1200.0,1100.0,12.0,70.0,58.0
9.0,BALLPARK LRT NC,65.35356235664048,700.0,1400.0,700.0,200.0,1100.0,900.0,14.0,38.0,24.0
10.0,Bingham Junction,499.0360524741112,2800.0,16500.0,13700.0,1100.0,8700.0,7600.0,8.0,50.0,42.0
11.0,BINGHAM JUNCTION LRT NC,8.22169107354822,0.0,0.0,0.0,100.0,100.0,0.0,17.0,19.0,2.0
12.0,Bountiful 200 West,32.18950391722703,500.0,1100.0,600.0,100.0,500.0,400.0,20.0,50.0,30.0
13.0,Bountiful Downtown,70.61197666867989,2600.0,3000.0,400.0,200.0,1100.0,900.0,39.0,57.0,18.0
16.0,Butler Park Center,65.62524095178651,0.0,100.0,100.0,0.0,100.0,100.0,1.0,2.0,1.0
17.0,Central Antelope Center,99.74978368809718,300.0,2900.0,2600.0,100.0,1500.0,1400.0,4.0,45.0,41.0
18.0,CENTRAL POINTE LRT NC,219.93961435708184,1100.0,5000.0,3900.0,1200.0,3600.0,2400.0,10.0,39.0,29.0
19.0,CLEARFIELD CRT NC,120.84632460349864,300.0,3300.0,3000.0,100.0,2400.0,2300.0,4.0,47.0,43.0
20.0,Cottonwood Heights Fort Union,55.59671148290643,1100.0,1700.0,600.0,100.0,900.0,800.0,22.0,48.0,26.0
